clean_address,crime_count,most_frequent_crime
        ,30,LARCENY
 AV     ,2,AGGRAVATED ASSAULT
 BLVD   ,1,AGGRAVATED ASSAULT
 ST     ,2,MV THEFT
0,14,AGGRAVATED ASSAULT
1 WALSH CIRCLE CIR,1,OFFN AGAINST FAMILY
1ST NORTH ST,6,POSSESSION/USE DANGEROUS WEAPONS
1ST NORTH ST     ,17,LARCENY
2ND NORTH ST,1,OFFN AGAINST FAMILY
2ND NORTH ST     ,5,ALL OTHER OFFENSES
300 BLK OF TOMPKINS,1,SIMPLE ASSAULT
331 FAIRMOUNT AVE    ,1,POSSESSION/USE DRUG
4TH NORTH ST,2,CRIMINAL MISCHIEF
4TH NORTH ST     ,1,CRIMINAL MISCHIEF
500 TEALL AVE    ,1,DRIVING UNDER INFLUENCE
521 CARBON ST     ,1,CRIMINAL MISCHIEF
690 EAST        ,1,DRIVING UNDER INFLUENCE
690 EB,1,AGGRAVATED ASSAULT
690 INT  E ,1,DISORDERLY CONDUCT
690 ON RAMP FROM TEALL        ,1,SIMPLE ASSAULT
6TH NORTH ST,1,CRIMINAL MISCHIEF
700 BUTTERNUT ST     ,1,DRIVING UNDER INFLUENCE
7TH NORTH ST,2,CRIMINAL MISCHIEF
7TH NORTH ST     ,7,BURGLARY
81 NORTH INT,1,POSSESSION/USE DANGEROUS WEAPONS
81 S @ SALINA,2,CRIMINAL MISCHIEF
81 S @ TOWNSEND ST     ,1,LARCENY
8TH AV     ,1,LARCENY
ABERDEEN TER,2,SIMPLE ASSAULT
ABERDEEN TER    ,13,CRIMINAL MISCHIEF
ACADEMY GREEN,2,CRIMINAL MISCHIEF
ACADEMY GREEN        ,2,BURGLARY
ACADEMY PL,11,CRIMINAL MISCHIEF
ACADEMY PL     ,10,BURGLARY
ACADEMY ST,2,BURGLARY
ACADEMY ST     ,8,SIMPLE ASSAULT
ACKERMAN,4,SIMPLE ASSAULT
ACKERMAN        ,4,CRIMINAL MISCHIEF
ACKERMAN AV,33,LARCENY
ACKERMAN AV ,3,LARCENY
ACKERMAN AV   ,37,LARCENY
ACKERMAN AV     ,90,LARCENY
ACKERMAN AVE,11,CRIMINAL MISCHIEF
ACKERMAN AVE    ,34,LARCENY
ADAMS ST,1,DISORDERLY CONDUCT
AINSLEY DR,3,BURGLARY
AINSLEY DR   ,1,MV THEFT
AINSLEY DR     ,14,LARCENY
AIR CARGO RD,1,DRIVING UNDER INFLUENCE
AIR CARGO RD     ,4,BURGLARY
AIRPORT BOULEVARD NORTH        ,1,LARCENY
AIRPORT TERMINAL DR,1,ALL OTHER OFFENSES
